77352,45582,17.0,,,UNB,"Bergeron, Y.; Bouchard, A.; Massicotte, G.N.",78-230,8,7,1978,,Arbustaie ouverte dominée par Alnus crispa var. mollis et Betula papyrifera; sommet rocheux; sud-est du lac Voose,,Rouyn-Noranda,Quebec,Canada,Réserve d'Aiguebelle,,,,,,,48,30,,N,78,45,,W,,3.0,,Collector,No reproductive structures seen on specimen,,Lycopodium denroideum Michx.      ,"Annotated by J.P. Goltz, 1998",2014-03-14,2015-07-08,,Courtney,   Accession # 45582,Collector's # 78-230,8/7/1978/,Rouyn-Noranda Co.,,,N,W,Habitat:  Arbustaie ouverte dominée par Alnus crispa var. mollis et Betula papyrifera; sommet rocheux; sud-est du lac Voose. ,Locality:  Réserve d'Aiguebelle. ,"Notes:  Annotated by J.P. Goltz, 1998.",Duplicate,48.5,48.5º N ,78.75,78.75º W,,,Réserve d'Aiguebelle,48.5,78.75,,,,,77352,,,,,56985,56985,,
77356,64353,812.0,,,UNB,"Mills, E.",,27,6,2013,,"East facing seep, hardwood edge, disturbed habitat, Elev. 19 m",,Queens,New Brunswick,Canada,NW Shore of Grand LakeWuh's Beach Road off Hwy #690,,,,,,,,,,,,,,,,2.0,,Collector,Specimen has both fruit and flowers,,Ranunculus abortivus L.      ,,2014-03-19,2015-07-08,,shortt,   Accession # 64353,,27/6/2013/,Queens Co.,,,,,"Habitat:  East facing seep, hardwood edge, disturbed habitat, Elev. 19 m. ",Locality:  NW Shore of Grand LakeWuh's Beach Road off Hwy #690. ,,Duplicate,,,,,,,NW Shore of Grand LakeWuh's Beach Road off Hwy #690,,,,,,,77356,,46.0209,-66.0271,,56985,56985,46.0209º N ,-66.0271º W
78410,64564,1698,,,UNB,"Taylor, A.R.A.",9181,7,8,1944,,,,,Quebec,Canada,"Site xv, Nastapoka Falls, Hudson Bay",,,,,,,,,,,,,,,,5,,Databaser,,18,Tanacetum bipinnatum (L.) Schultz-Bip.      ,,2015-05-20,2015-07-08,,J. Anderson,   Accession # 64564,Collector's # 9181,7/8/1944/,,,,,,,"Locality:  Site xv, Nastapoka Falls, Hudson Bay. ",,Duplicate,,,,,,,"Site xv, Nastapoka Falls, Hudson Bay",,,,,,,78410,,59.6,-76.5,,56985,56985,59.6º N ,-76.5º W
78411,64561,2229,,,UNB,"Taylor, A.R.A.",9198,7,8,1944,,,,,Quebec,Canada,"Site xv, Nastapoka FallsHudson Bay",,,,,,,,,,,,,,,,5,,Databaser,Specimen is reproductive,18,Taraxacum ceratophorum (Ledeb.) DC.      ,,2015-05-20,2015-07-08,,shortt,   Accession # 64561,Collector's # 9198,7/8/1944/,,,,,,,"Locality:  Site xv, Nastapoka FallsHudson Bay. ",,Duplicate,,,,,,,"Site xv, Nastapoka FallsHudson Bay",,,,,,,78411,,59.6,-76.5,,56985,56985,59.6º N ,-76.5º W
78414,31014,1006,,,UNB,"Cunningham, G.C.",,16,7,1957,,Roadside,,,New Brunswick,Canada,Acadia R Station East of jct. Grub Road & S Boundary Road,,,,,,,45,58,,N,66,19,,W,,2,,Collector,Specimen has flowers,,Rubus canadensis L.      ,,2015-05-20,2015-07-08,,J. Anderson,   Accession # 31014,,16/07/1957/,,,,N,W,Habitat:  Roadside. ,Locality:  Acadia R Station East of jct. Grub Road & S Boundary Road. ,,Duplicate,45.9667,45.9667º N ,66.3167,66.3167º W,,,Acadia R Station East of jct. Grub Road & S Boundary Road,45.9667,66.3167,,,,,78414,,,,,56985,56985,,
78415,31017,1006,,,UNB,"Cunningham, G.C.",,22,7,1956,,,,York,New Brunswick,Canada,One mile west of Ranger School UNB Woodlot Fredericton,,,,,,,,,,,,,,,,4,,Collector,Specimen has flowers,,Rubus canadensis L.      ,,2015-05-20,2015-07-08,,J. Anderson,   Accession # 31017,,22/7/1956/,York Co.,,,,,,Locality:  One mile west of Ranger School UNB Woodlot Fredericton. ,,Duplicate,,,,,,,One mile west of Ranger School UNB Woodlot Fredericton,,,,,,,78415,,,,,56985,56985,,
78416,64650,1010,,,UNB,"Cunningham, G.C.",,3,9,1956,,"With white birch, red maple stand",,,New Brunswick,Canada,Acadia Forest Research Station SE quarter Provenance Area,,,,,,,46,59,,N,66,15,,W,,4,,Collector,Specimen has flowers,,Rubus hispidus L.      ,,2015-05-21,2015-07-08,,J. Anderson,   Accession # 64650,,3/9/1956/,,,,N,W,"Habitat:  With white birch, red maple stand. ",Locality:  Acadia Forest Research Station SE quarter Provenance Area. ,,Duplicate,46.9833,46.9833º N ,66.25,66.25º W,,,Acadia Forest Research Station SE quarter Provenance Area,46.9833,66.25,,,,,78416,,,,,56985,56985,,
78418,64651,1010,,,UNB,"Cunningham, G.C.",,3,9,1956,,"With white birch, red maple",,,New Brunswick,Canada,Acadia Forest Exp. Station SE quarter Provenance Area,,,,,,,46,59,,N,66,15,,W,,4,,Collector,,,Rubus hispidus L.      ,,2015-05-21,2015-07-08,,J. Anderson,   Accession # 64651,,3/9/1956/,,,,N,W,"Habitat:  With white birch, red maple. ",Locality:  Acadia Forest Exp. Station SE quarter Provenance Area. ,,Duplicate,46.9833,46.9833º N ,66.25,66.25º W,,,Acadia Forest Exp. Station SE quarter Provenance Area,46.9833,66.25,,,,,78418,,,,,56985,56985,,
78419,64649,1010,,,UNB,"Cunningham, G.C.",,4,9,1955,,"wet woods, roadsides",,York,New Brunswick,Canada,UNB Woodlot,,,,,,,45,55,,N,66,45,,W,,3,,Collector,Specimen has flowers,,Rubus hispidus L.      ,,2015-05-21,2015-07-08,,J. Anderson,   Accession # 64649,,4/9/1955/,York Co.,,,N,W,"Habitat:  wet woods, roadsides. ",Locality:  UNB Woodlot. ,,Duplicate,45.9167,45.9167º N ,66.75,66.75º W,,,UNB Woodlot,45.9167,66.75,,,,,78419,,,,,56985,56985,,
78420,64648,1010,,,UNB,"Cunningham, G.C.",,26,8,1956,,"With white birch, red maple, fir",,,New Brunswick,Canada,Adjacent to chart quadrant #9 Acadia (Research Station),,,,,,,45,57.5,,N,66,21,,W,,3,,Collector,Specimen has flowers,,Rubus hispidus L.      ,Tip rooting,2015-05-21,2015-07-08,,J. Anderson,   Accession # 64648,,26/8/1956/,,,,N,W,"Habitat:  With white birch, red maple, fir. ",Locality:  Adjacent to chart quadrant #9 Acadia (Research Station). ,Notes:  Tip rooting.,Duplicate,45.9583,45.9583º N ,66.35,66.35º W,,,Adjacent to chart quadrant #9 Acadia (Research Station),45.9583,66.35,,,,,78420,,,,,56985,56985,,
