"","","Duplicate","","","","","","","","","3/2/2016","Admin","","","","","","","","","UNB","","","","","","","","","","","","","","3/2/2016","","","","","","","","79239","79239","","","","",""
"","","Duplicate","","","","","","","","","3/2/2016","Admin","","","","","","","","","UNB","","","","","","","","","","","","","","3/2/2016","","","","","","","","79253","79253","","","","",""
"","","Duplicate","","","","","","","","","3/16/2016","Admin","","","","","","","","","UNB","","","","","","","","","","","","","","3/16/2016","","","","","","","","79292","79292","","","","",""
"","","Duplicate","","","","","","","","","3/16/2016","Admin","","","","","","","","","UNB","","","","","","","","","","","","","","3/16/2016","","","","","","","","79294","79294","","","","",""
"","","Duplicate","","","","","","","","","3/16/2016","Admin","","","","","","","","","UNB","","","","","","","","","","","","","","3/16/2016","","","","","","","","79295","79295","","","","",""
"","","Duplicate","","","","","","","","","3/30/2016","Admin","","","","","","","","","UNB","","","","","","","","","","","","","","3/30/2016","","","","","","","","79410","79410","","","","",""
"","","Duplicate","","","","","","","","","3/30/2016","Admin","","","","","","","","","UNB","","","","","","","","","","","","","","3/30/2016","","","","","","","","79422","79422","","","","",""
"","","Duplicate","","","","","","","","","3/30/2016","Admin","","","","","","","","","UNB","","","","","","","","","","","","","","3/30/2016","","","","","","","","79432","79432","","","","",""
"","","Duplicate","","","","","","","","","3/23/2016","admin","","","","","","","","","UNB","","","","","","","","","","","","","","3/30/2016","","","","","","","","78421","78421","","","","",""
"","","Duplicate","","","","","","","","","3/23/2016","admin","","","","","","","","","UNB","","","","","","","","","","","","","","3/30/2016","","","","","","","","78423","78423","","","","",""
"Fnequent.","0","Duplicate","","11424","","Hinds, H.R.; Goltz, J.; Vido, K.","","y","Canada","Carleton","9/21/2006","Meghan","10","Carex granularis Muhl. var. haleana (Olney) Porter   ","","","","","","Wet edge of field near cedar swamp.","UNB","","","","","","","","","S. Knowlesville, west of Howard Brook, Falls Brook Centre property.","","","","","3/30/2016","9","","","Specimen is Reproductive","","New Brunswick","355","43962","43962","","","","","1994"
"","1","Duplicate","","","","Mills, E.","Specimen misplaced? rls 2012","","Canada","York","12/8/2009","admin","21","Juncus filiformis L.      ","","","","","","grassy meadows / fen   along Sisson Brook","UNB","","","","","","","","","site 49","","","","","7/8/2015","7","","Proposed Sisson brook Mine area","Specimen is reproductive","","New Brunswick","519","54739","54739","","649500","5136094","19","2008"
"","3","Duplicate","","","","Landauer, E.","Specimen misplaced? rls 2012","","Canada","Victoria","6/8/2006","Dorothy","25","Calamagrostis canadensis (Michx.) P. Beauv.      ","","","","","","open cedar swamp","UNB","","","","","Calamagrostis canadensis (Michx.) P. Beauv.      ","","","","Big Brook branch of Salmon River","","","","","7/8/2015","7","","","Specimen is Reproductive","","New Brunswick","1869","43673","","","","","","1984"
"","4","Duplicate","","","","Christie, D.S.","","","Canada","Kings","6/28/2011","shortt","4","Solanum dulcamara L.      ","","","","Databaser","","Moist gravel in the open","UNB","","","45","N","","22","49","","Rothesay ","65","W","58","7","7/8/2015","8","","","Specimen has flowers","4","New Brunswick","1950","64362","64362","","","","","1962"
"Abundant","5","Duplicate","","4658","","Blaney, C.S.; Popma, T.M.","Coll: UNB, NBM, DAO. Col# 4662. Dupl: 3. Evid.: specimen.Specimen misplaced? rls 2012","","Canada","Sunbury","5/11/2006","","15","Potamogeton epihydrus Raf.      ","","","","Collector","21 G/16","Shallow creek in silver maple-forest","UNB","","","45","N","","53","56","","Portobello Stream at Church Rd., Portobello NWA","66","W","25","38","7/8/2015","8","","","Specimen is Reproductive","2","New Brunswick","120","43034","","","699567","5086021","19","2002"
"","6","Duplicate","","","","Robb?","","","Canada","Carleton","7/19/2011","shortt","","Equisetum hyemale L. ssp. affine    ","","","","Databaser","","wet grounds","UNB","","","","","","","","","Carleton St John","","","","","7/8/2015","8","","","No reproductive structures seen on specimen","5","New Brunswick","3","64750","64750","","","","","1843"
"","7","Duplicate","","","","Robb?","","","Canada","York","7/19/2011","shortt","","Equisetum hyemale L. ssp. affine    ","","","","Databaser","","Damp ground ","UNB","","","45","N","","56","43","","near Fredericton","66","W","40","0","7/8/2015","8","","","No reproductive structures seen on specimen","4","New Brunswick","3","64749","64749","","","","","1844"
"","7","Duplicate","","","","Robb?","","","Canada","York","7/19/2011","shortt","","Equisetum hyemale L. ssp. affine    ","","","","Databaser","","wet ground","UNB","","","45","N","","56","43","","near Fredericton","66","W","40","0","7/8/2015","8","","","No reproductive structures seen on specimen","4","New Brunswick","3","64751","64751","","","","","1844"
"fairly common","8","Duplicate","","EEL03-023","","Blaney, C.S.","Specimen misplaced? rls 2012","n","Canada","York","1/24/2007","Meghann","21","Carex folliculata L.      ","","","","Collector","21 G/13","Understory of shoreline alder swamp","UNB","","","45","N","","54","34","","Eel River; W side, 2.5 km upstream of Harten Settlement road bridge","67","W","41","15","7/8/2015","7","","","Specimen has Flowers or Flower Buds","1","New Brunswick","352","8030","8030","","601797","5084824","19","2003"
"Rare","9","Duplicate","","10759","","Hinds, H.R.","Specimen misplaced? rls 2012","n","Canada","Restigouche","6/28/2006","Meghan","30","Carex backii Boott      ","","","","Databaser","","Wet edge of woods near road.","UNB","","","47.67079","N","","","","","Four Mile Brook and vicinity on Restigouche River.","67.47843","W","","","7/8/2015","7","","","Specimen is Reproductive","4","New Brunswick","318","5922","5922","","","","","1992"
"Rare","10","Duplicate","","EEL03-145","","Blaney, C.S.","Specimen misplaced? rls 2012","","Canada","York","2/13/2007","Meghann","30","Carex cryptolepis Mack.      ","","","","Collector","21 G/13","Rocky rivershore seep","UNB","","","45","N","","57","10","","Eel River, 1.2 km SW of mouth of Four Mile brook","67","W","31","2","7/8/2015","7","","","Specimen is Reproductive","1","New Brunswick","338","50955","","","614911","5089881","19","2003"
