65293,10000,15,,,UNB,"Roberts, P.R.; Bateman, N.",64-2112,3,8,1964,,"open roadside, dry and sandy",,Sunbury,New Brunswick,Canada,ENE of Acadia Forest Experiment Station ,,,,,,,45,59,,N,66,22,,W,,4,,Databaser,Specimen is reproductive,,Lycopodium annotinum L. var. pungens L. clavatum var. megastachyon by A.R. Hodgden & R.B. Pike 1965L. clavatum var. monostchyon by H.hinds 1983Lycopodium lagopus (Laest. ex  Hartm.) Zinserl. ex Kuz.-Proch.      by J.P.Goltz 1997,,2011-08-18,2015-07-08,,shortt,   Accession # 10000,Collector's # 64-2112,3/8/1964/,Sunbury Co.,,,N,W,"Habitat:  open roadside, dry and sandy. ",Locality:  ENE of Acadia Forest Experiment Station . ,,Duplicate,45.9833,45.9833º N ,66.3667,66.3667º W,,,ENE of Acadia Forest Experiment Station ,45.9833,66.3667,,,,,65293,,,,,56985,56985,,
41469,10027,1195,,,UNB,"Roberts, P.R.; Bateman, N.",64-3218,10,8,1964,,"mixed woods - birches, maples and softwoods",,Madawaska,New Brunswick,Canada,Road between Clair and Long Sett. [Concession des Lang],,,,19,528728,5235425,47.271671,,,N,68.62019,,,W,,3.5,21 N/07,ACCDC,Specimen has Flowers or Flower Buds,,Epilobium adenocaulon Haussk. 1966 P.R. RobertsEpilobium ciliatum Raf. ssp. glandulosum (Lehm.) Hoch & Raven Oct. 1998 D. McLeod,,2006-02-07,2015-07-08,,,   Accession # 10027,Collector's # 64-3218,,Madawaska Co.,UTM 19 528728 5235425,,N,W,"Habitat:  mixed woods - birches, maples and softwoods. ",Locality:  Road between Clair and Long Sett. [Concession des Lang]. ,,Duplicate,47.2717,47.2717º N ,68.6202,68.6202º W,,,Road between Clair and Long Sett. [Concession des Lang],47.2717,68.6202,,,,,,,,,,56985,56985,,
54180,10049,82,,,UNB,"Roberts, P.R.; Bateman, N.",64-3209,10,8,1964,,"Mixed woods - maples, birches and softwoods",,Madawaska,New Brunswick,Canada,Road between Clair and Long Sett.,,,,19,528728,5235425,47.271671,,,N,68.62019,,,W,,3.5,21 N/07,ACCDC,Specimen is reproductive,,Dryopteris phegopteris (L.) Christens.Phegopteris connectilis (Michx.) Watt      ,,2008-05-02,2015-07-08,,admin,   Accession # 10049,Collector's # 64-3209,10/8/1964/,Madawaska Co.,UTM 19 528728 5235425,,N,W,"Habitat:  Mixed woods - maples, birches and softwoods. ",Locality:  Road between Clair and Long Sett.. ,,Duplicate,47.2717,47.2717º N ,68.6202,68.6202º W,,,Road between Clair and Long Sett.,47.2717,68.6202,,,,,54180,,,,,56985,56985,,
3543,49800,435.5,,Carex viridula ssp. brachyrrhyncha,UNB,"Hinds, H.R.",10246,15,6,1991,,in an open sphagnum mat.,Frequent.,Gloucester,New Brunswick,Canada,Petit Rocher Bog in vicinity of Petit Rocher railroad where railroad passes close to centre of town.,,,,20,295720,5295210,47.77784,,,N,65.72691,,,W,83,2,21 P/13,ACCDC,,,Carex viridula Michx. ssp. brachyrhyncha (Celak.) B. Schmidt var. elatior (Schlecht.) Crins,,1998-09-18,2015-11-25,,,   Accession # 49800,Collector's # 10246,,Gloucester Co.,UTM 20 295720 5295210,,N,W,Habitat:  in an open sphagnum mat.. ,Locality:  Petit Rocher Bog in vicinity of Petit Rocher railroad where railroad passes close to centre of town.. ,,Duplicate,47.7778,47.7778º N ,65.7269,65.7269º W,,Abund.:  Frequent.. ,Specific location data for rare species is available on request,,,y,,,,,,,,,56985,56985,,
3542,51226,435.5,,Carex viridula ssp. brachyrrhyncha,UNB,"Hinds, H.R.; Flanders, G.",9604,25,6,1990,,on calcareous seep along RR tracks.,Rare,Restigouche,New Brunswick,Canada,Dalhousie Jct. about 1 km S of Rte. 11.,,,,19,688102,5323771,48.03949,,,N,66.47636,,,W,83,3,22 B/01,ACCDC,,,Carex viridula Michx. ssp. brachyrhyncha (Celak.) B. Schmidt var. elatior (Schlecht.) Crins,,1998-09-18,2015-11-25,,,   Accession # 51226,Collector's # 9604,,Restigouche Co.,UTM 19 688102 5323771,,N,W,Habitat:  on calcareous seep along RR tracks.. ,Locality:  Dalhousie Jct. about 1 km S of Rte. 11.. ,,Duplicate,48.0395,48.0395º N ,66.4764,66.4764º W,,Abund.:  Rare. ,Specific location data for rare species is available on request,,,y,,,,,,,,,56985,56985,,
3541,51873,435.5,,Carex viridula ssp. brachyrrhyncha,UNB,"Hinds, H.R.; Goltz, J.; Dibble, A.",11547,6,8,1995,,in a rich fen.,Frequent.,Gloucester,New Brunswick,Canada,"Petite-Rocher; Petite-Rocher, about 3 km west from railroad tracks near housing development.",,,,20,293673,5295138,47.77654,,,N,65.75418,,,W,83,3,21 P/13,ACCDC,,,Carex viridula Michx. ssp. brachyrhyncha (Celak.) B. Schmidt var. elatior (Schlecht.) Crins,,1998-09-18,2015-11-25,,,   Accession # 51873,Collector's # 11547,,Gloucester Co.,UTM 20 293673 5295138,,N,W,Habitat:  in a rich fen.. ,"Locality:  Petite-Rocher; Petite-Rocher, about 3 km west from railroad tracks near housing development.. ",,Unique,47.7765,47.7765º N ,65.7542,65.7542º W,,Abund.:  Frequent.. ,Specific location data for rare species is available on request,,,y,,,,,,,,,56985,56985,,
58508,59832,435.5,,,UNB,"Blaney, C.S.",3642,24,9,2000,,muddy-gravel shore,,Westmorland,New Brunswick,Canada,Jolicure Lake,,,,20,403738,5090144,45,57,29,N,64,14,32,W,,2,21 H/16,ACCDC,Specimen is reproductive,,Carex viridula Michx. ssp. brachyrhyncha (Celak.) B. Schmid var. elatior (Schlecht.) Crins by C.M. Young 2004,,2010-11-24,2015-07-08,,shortt,   Accession # 59832,Collector's # 3642,24/9/2000/,Westmorland Co.,UTM 20 403738 5090144,,N,W,Habitat:  muddy-gravel shore. ,Locality:  Jolicure Lake. ,,Duplicate,45.9581,45.9581º N ,64.2422,64.2422º W,,,Specific location data for rare species is available on request,,,,,,,58508,,,,,56985,56985,,
4094,10500,1468,,,UNB,"Roberts, P.R.; Drury, D.E.",63-1185,8,8,1963,,Mixed softwoods.,,York,New Brunswick,Canada,Moose Lake area.,,,,19,669526,5192060,46.86047,,,N,66.77589,,,W,83,3.5,21 J/15,ACCDC,,,Galium kamtschaticum Steller      ,,1999-05-05,2015-11-25,,,   Accession # 10500,Collector's # 63-1185,,York Co.,UTM 19 669526 5192060,,N,W,Habitat:  Mixed softwoods.. ,Locality:  Moose Lake area.. ,,Duplicate,46.8605,46.8605º N ,66.7759,66.7759º W,,,Specific location data for rare species is available on request,,,,,,,,,,,,56985,56985,,
31936,10605,1749,,,UNB,"Roberts, P.R.",59-404,11,5,1959,,roadside,,York,New Brunswick,Canada,Keswick Ridge,,,,,,,46.0014,,,N,66.8917,,,W,,3.5,21 G/15,UNB,Specimen has Flowers or Flower Buds,,Cardamine diphylla (Michx.) Wood      ,,2004-01-20,2015-07-08,,,   Accession # 10605,Collector's # 59-404,,York Co.,,,N,W,Habitat:  roadside. ,Locality:  Keswick Ridge. ,,Duplicate,46.0014,46.0014º N ,66.8917,66.8917º W,,,Keswick Ridge,46.0014,66.8917,,,,,,,,,,56985,56985,,
26444,10619,1563,,,UNB,"Roberts, P.R.; Bateman, N.",64-3372,12,8,1964,,Stream edge,,Restigouche,New Brunswick,Canada,Pemouet Bk. Rd. at Wild Goose Bra. bridge,,,,19,566201,5292164,47.7794,,,N,68.11629,,,W,83,3.5,21 N/16,ACCDC,Specimen has Flowers or Flower Buds,,Aster puniceus L.      ,,2003-01-30,2015-11-25,,,   Accession # 10619,Collector's # 64-3372,,Restigouche Co.,UTM 19 566201 5292164,,N,W,Habitat:  Stream edge. ,Locality:  Pemouet Bk. Rd. at Wild Goose Bra. bridge. ,,Duplicate,47.7794,47.7794º N ,68.1163,68.1163º W,,,Pemouet Bk. Rd. at Wild Goose Bra. bridge,47.7794,68.1163,,,,,,,,,,56985,56985,,
