64749,7,3,,,UNB,Robb?,,,8,1844,,Damp ground ,,York,New Brunswick,Canada,near Fredericton,,,,,,,45,56,43,N,66,40,0,W,,4,,Databaser,No reproductive structures seen on specimen,,Equisetum hyemale L. ssp. affine    ,,2011-07-19,2015-07-08,,shortt,   Accession # 7,,00/8/1844/,York Co.,,,N,W,Habitat:  Damp ground . ,Locality:  near Fredericton. ,,Duplicate,45.9453,45.9453º N ,66.6667,66.6667º W,,,near Fredericton,45.9453,66.6667,,,,,64749,,,,,56985,56985,,
28984,706,1608,,,UNB,"Redmond, D.R.",706,11,8,1948,,dry sandy soil,,York,New Brunswick,Canada,Fredericton,,,,,,,,,,,,,,,,,,,Specimen has Flowers or Flower Buds,,Galinsoga quadriradiata Ruiz & Pavon      ,,2003-11-13,2015-07-08,,,   Accession # 706,Collector's # 706,,York Co.,,,,,Habitat:  dry sandy soil. ,Locality:  Fredericton. ,,Duplicate,,,,,,,Fredericton,,,,,,,,,,,,56985,56985,,
77041,726,1763,,,UNB,J.T.B.K. ,,8,6,1948,,Fields along stream,,Pictou,Nova Scotia,Canada,Willowdale,,,,,,,45,23,41,N,62,12,40,W,,3,,Databaser,Specimen has flowers,,Viola sororia  Willd.      ,,2013-12-17,2013-12-17,,Courtney,   Accession # 726,,8/6/1948/,Pictou Co.,,,N,W,Habitat:  Fields along stream. ,Locality:  Willowdale. ,,Duplicate,45.3947,45.3947º N ,62.2111,62.2111º W,,,Willowdale,45.3947,62.2111,,,,,77041,,,,,56985,56985,,
31625,775,1346,,,UNB,"Taylor, A.R.A.",,12,8,1949,,gravel beach,,Albert,New Brunswick,Canada,"Point Wolfe, Fundy National Park",,,,,,,,,,,,,,,,,,,Specimen has both Fruit and Flowers,,Mertensia maritima (L.) S.F. Gray      ,,2004-01-13,2015-07-08,,,   Accession # 775,,,Albert Co.,,,,,Habitat:  gravel beach. ,"Locality:  Point Wolfe, Fundy National Park. ",,Duplicate,,,,,,,"Point Wolfe, Fundy National Park",,,,,,,,,,,,56985,56985,,
37876,783,918,,,UNB,,783,4,6,1838,,swamp,,York,New Brunswick,Canada,"Royal Road, Fredericton",,,,,,,,,,,,,,,,,,,Specimen has Flowers or Flower Buds,,Ribes lacustre (Pers.) Poir.      ,,2004-06-28,2015-07-08,,,   Accession # 783,Collector's # 783,,York Co.,,,,,Habitat:  swamp. ,"Locality:  Royal Road, Fredericton. ",,Duplicate,,,,,,,"Royal Road, Fredericton",,,,,,,,,,,,56985,56985,,
63730,790,910,,,UNB,,,,6,1841,,springy ground,,York,New Brunswick,Canada,"Lower Saint Mary's, Fredericton",,,,,,,45,56,43,N,66,40,0,W,,4,,,No reproductive structures seen on specimen,,Chrysosplenium americanum Schwein.      ,,2011-06-06,2015-07-08,,shortt,   Accession # 790,,00/6/1841/,York Co.,,,N,W,Habitat:  springy ground. ,"Locality:  Lower Saint Mary's, Fredericton. ",,Duplicate,45.9453,45.9453º N ,66.6667,66.6667º W,,,"Lower Saint Mary's, Fredericton",45.9453,66.6667,,,,,63730,,,,,56985,56985,,
52854,7003,1460,,,UNB,"Roberts, P.R.; Drury, D.E.",63-1968,22,8,1963,,Waterfront.,,Restigouche,New Brunswick,Canada,Dalhousie.,,,,,,,,,,,,,,,,,,,Specimen is reproductive,,Plantago maritima L. var. juncoides (Lam.) Gray   ,,2007-06-14,2015-07-08,,Margaret,   Accession # 7003,Collector's # 63-1968,22/8/1963/,Restigouche Co.,,,,,Habitat:  Waterfront.. ,Locality:  Dalhousie.. ,,Duplicate,,,,,,,Dalhousie.,,,,,,,,,,,,56985,56985,,
33584,7010,759,,,UNB,"Roberts, P.R.; Drury, D.E.",63-2006,22,8,1963,,upper beach,,Gloucester,New Brunswick,Canada,Miscou light,,,,20,388768,5318420,48.009389,,,N,64.49143,,,W,,3,22 A/02,ACCDC,Specimen has Fruit but no Flowers,,Glaux maritima L. var obtusifolia Fern. Arenaria peploides L. 1966 RobertsHonckenya peploides (L.) Ehrh. ssp. robusta (Fern.) Hulten.   ,,2004-03-09,2015-07-08,,,   Accession # 7010,Collector's # 63-2006,,Gloucester Co.,UTM 20 388768 5318420,,N,W,Habitat:  upper beach. ,Locality:  Miscou light. ,,Unique,48.0094,48.0094º N ,64.4914,64.4914º W,,,Miscou light,48.0094,64.4914,,,,,,,,,,56985,56985,,
55498,7011,1293,,,UNB,"Roberts, P.R.; Drury, D.E.",63-2013,23,8,1963,,top of dune,,Gloucester,New Brunswick,Canada,Miscou Lighthouse,,,,,,,48,0,59,N,64,30,55,W,,,,,Specimen is reproductive,,Glaux maritima L.      ,Mapped for NB Flora,2010-09-29,2015-07-08,,shortt,   Accession # 7011,Collector's # 63-2013,23/8/1963/,Gloucester Co.,,,N,W,Habitat:  top of dune. ,Locality:  Miscou Lighthouse. ,Notes:  Mapped for NB Flora.,Duplicate,48.0164,48.0164º N ,64.5153,64.5153º W,,,Miscou Lighthouse,48.0164,64.5153,,,,,55498,,,,,56985,56985,,
61804,7031,1945,,,UNB,"Roberts, P.R.; Bateman, N.",64-706,8,6,1969,,"Woods, yellow birch and fir",,Saint John,New Brunswick,Canada,Martin Head,,,,,,,45,29,18,N,65,11,22,W,,4,,,Specimen has flowers,,Rubus pubescens Raf.      ,,2011-03-30,2015-07-08,,shortt,   Accession # 7031,Collector's # 64-706,8/6/1969/,Saint John Co.,,,N,W,"Habitat:  Woods, yellow birch and fir. ",Locality:  Martin Head. ,,Duplicate,45.4883,45.4883º N ,65.1894,65.1894º W,,,Martin Head,45.4883,65.1894,,,,,61804,,,,,56985,56985,,
